Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)",last_updated
June,2022,"RIL,JAMNAGAR,GUJARAT",2953.79,2023-08-19
July,2022,"IOCL-KOYALI, GUJARAT",1303.93,2023-08-19
July,2022,"IOCL TOTAL",6167.19,2023-08-19
May,2021,"GRAND TOTAL",18970.00,2023-08-19
June,2021,"IOCL-BARAUNI,BIHAR",442.00,2023-08-19
June,2021,"IOCL-MATHURA, UTTAR PRADESH",698.00,2023-08-19
June,2021,"IOCL TOTAL",5358.00,2023-08-19
June,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1063.00,2023-08-19
June,2021,"RIL,JAMNAGAR,GUJARAT",2690.00,2023-08-19
June,2021,"NEL-VADINAR,GUJARAT",1650.00,2023-08-19
July,2021,"IOCL-PARADIP,ODISHA",1059.00,2023-08-19
July,2021,"BPCL-MUMBAI, MAHARASHTRA",1253.00,2023-08-19
July,2021,BPCL-TOTAL,2962.00,2023-08-19
July,2021,"GRAND TOTAL",19384.00,2023-08-19
August,2021,"IOCL-GUWAHATI,ASSAM",64.00,2023-08-19
August,2021,"IOCL-PARADIP,ODISHA",663.00,2023-08-19
August,2021,CPCL-TOTAL,629.00,2023-08-19
August,2021,BORL-BINA,598.00,2023-08-19
August,2021,BPCL-TOTAL,2971.00,2023-08-19
August,2021,"HPCL-MUMBAI,MAHARASHTRA",299.00,2023-08-19
August,2021,"GRAND TOTAL",18439.00,2023-08-19
September,2021,"IOCL-MATHURA, UTTAR PRADESH",723.00,2023-08-19
December,2021,"RIL TOTAL",5529.00,2023-08-19
January,2022,"IOCL-GUWAHATI,ASSAM",92.00,2023-08-19
January,2022,"MRPL-MANGALORE,KARNATAKA",1440.00,2023-08-19
January,2022,"RIL,JAMNAGAR,GUJARAT",3042.00,2023-08-19
February,2022,"IOCL-DIGBOI,ASSAM",50.00,2023-08-19
February,2022,"BPCL-KOCHI, KERALA",1394.00,2023-08-19
February,2022,BPCL-TOTAL,3225.00,2023-08-19
February,2022,"NRL-NUMALIGARH, ASSAM",234.00,2023-08-19
February,2022,"RIL TOTAL",4790.00,2023-08-19
February,2022,"NEL-VADINAR,GUJARAT",1563.00,2023-08-19
March,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00,2023-08-19
March,2022,"MRPL-MANGALORE,KARNATAKA",1504.00,2023-08-19
March,2022,"HPCL-VISAKH,ANDHRA PRADESH",825.00,2023-08-19
March,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1092.00,2023-08-19
March,2022,"NEL-VADINAR,GUJARAT",1690.00,2023-08-19
